id|code|customer_id|cashier_id|issued_at|subtotal|discount|tax_total|rounding|grand_total|payment_method|amount_paid|note|created_at
1|INV-2025-001|1|7|2025-10-08T09:45:00|2500000|0|0|0|2500000|cash|2500000|Payment for Ray-Ban frame|2025-10-08T09:45:00
2|INV-2025-002|2|7|2025-10-09T11:00:00|1200000|120000|0|0|1080000|bank|1080000|10% discount applied|2025-10-09T11:00:00
3|INV-2025-003|3|7|2025-10-10T15:00:00|2300000|0|0|0|2300000|cash|2300000|High-index lens purchase|2025-10-10T15:00:00
4|INV-2025-004|1|7|2025-10-11T12:00:00|600000|0|0|0|600000|bank|600000|Glaucoma screening service|2025-10-11T12:00:00
5|INV-2025-005|4|7|2025-10-12T16:00:00|4300000|300000|0|0|4000000|bank|4000000|Gucci frame + Progressive lens|2025-10-12T16:00:00
6|INV-2025-006|5|9|2025-10-13T10:00:00|350000|0|0|0|350000|cash|350000|Daily contact lenses|2025-10-13T10:00:00
7|INV-2025-007|6|9|2025-10-13T11:30:00|1000000|0|0|0|1000000|cash|1000000|Kids frame + lens|2025-10-13T11:30:00
8|INV-2025-008|2|7|2025-10-09T11:15:00|450000|0|0|0|450000|bank|450000|Monthly contact lens|2025-10-09T11:15:00
9|INV-2025-009|7|9|2025-10-11T14:00:00|300000|0|0|0|300000|cash|300000|Eye examination|2025-10-11T14:00:00
10|INV-2025-010|3|7|2025-10-10T15:30:00|120000|0|0|0|120000|cash|120000|Eye drops|2025-10-10T15:30:00
11|INV-2025-011|8|9|2025-10-12T09:00:00|3700000|200000|0|0|3500000|bank|3500000|Titanium frame + Blue light lens|2025-10-12T09:00:00
12|INV-2025-012|4|7|2025-10-13T13:00:00|400000|0|0|0|400000|cash|400000|Contact lens fitting service|2025-10-13T13:00:00
13|INV-2025-013|1|9|2025-10-08T10:00:00|500000|0|0|0|500000|cash|500000|Comprehensive eye exam|2025-10-08T10:00:00
14|INV-2025-014|5|7|2025-10-11T16:30:00|150000|0|0|0|150000|cash|150000|Contact lens solution|2025-10-11T16:30:00
15|INV-2025-015|6|9|2025-10-12T10:00:00|800000|0|0|0|800000|bank|800000|Cataract surgery consultation|2025-10-12T10:00:00

